English,French,Correct,Wrong,Attempts
a,"quelqu'un, dans, un",0,0,0
a few,quelques,0,0,0
a hundred,centaine,0,0,0
a little,un peu,0,0,0
a long time,longtemps,0,0,0
a lot of,beaucoup,0,0,0
aardvark,tamanoir,0,0,0
aback,étonné,0,0,0
abacus,"boulier, abaque",0,0,0
abandon,"renoncer, abandonnent, abandonnons, délaisser",0,0,0
abandoned,"abandonné, abandonnés, abandonnai, abandonna",0,0,0
abandoning,abandonnant,0,0,0
abandonment,"tâche, abandon, abandonnement",0,0,0
abandonment of service,disjonction,0,0,0
abandons,abandonne,0,0,0
abase,abaisser,0,0,0
abasement,humiliation,0,0,0
abashed,confuse,0,0,0
abashedly,honteux,0,0,0
abashes,penaud,0,0,0
abashment,embarras,0,0,0
abate,"alléger, amoindrir",0,0,0
abatement,"rabais, remise, rature, coupure",0,0,0
abattoir,"boucherie, abattoir",0,0,0
abbatial,abbatial,0,0,0
abbess,abbesse,0,0,0
abbey,abbaye,0,0,0
abbot,abbé,0,0,0
abbreviate,"abréger, abrégez, abrégent, rogner, abrégeons",0,0,0
abbreviated,"abrégés, abrégées, abrégée, abrégeâmes, abrégea",0,0,0
abbreviates,abrége,0,0,0
abbreviating,abrégeant,0,0,0
abbreviation,"abréviation, raccourcie",0,0,0
abbroachement,"revente, rafler",0,0,0
ABC,alphabet,0,0,0
abcess,abcés,0,0,0
abdicate,"abdiquent, abdiquez, abdiquer, abdiquons",0,0,0
abdicated,"abdiqué, abdiquâmes, abdiqua, abdiquai, abdiquée",0,0,0
abdicates,abdique,0,0,0
abdicating,abdiquant,0,0,0
abdication,abdication,0,0,0
abdomen,"ventre, abdomen",0,0,0
abduction,ravissement,0,0,0
abductor,"ravisseur, abducteur",0,0,0
aberrant,abus,0,0,0
aberration,erreur,0,0,0
abet,"secourir, ameuter, troubler, émouvoir, agiter",0,0,0
abetment,subside,0,0,0
abhor,"abhorrer, abhorrent, abominer, exécrer, abhorrons",0,0,0
abhorred,"abhorrés, abhorrée, abhorrai, abhorrées, abhorra",0,0,0
abhorrence,"aversion, atrocité, répulsion, dégoût",0,0,0
abhorrent,hideux,0,0,0
abhorring,abhorrant,0,0,0
abhors,abhorre,0,0,0
abide,"attendre, endurer, perséverer, soutenir, supporter",0,0,0
abide by,tenir le coup,0,0,0
ability,capacité,0,0,0
ability to pay,solvabilité,0,0,0
abiogenesis,abiogenèse,0,0,0
abject,dédaigneux,0,0,0
abjuration,"abnégation, abjuration",0,0,0
abjure,abjurer,0,0,0
Abkhazia,Abkhasie,0,0,0
Abkhazian,Abkhasien,0,0,0
ablative,ablatif,0,0,0
ablaut,apophonie,0,0,0
ablaze,ardant,0,0,0
able,"valide, compétent, capable",0,0,0
abnegate,"répudier, abjurer, démentir",0,0,0
abnegator,fruit sec,0,0,0
abnegators,fruit sec,0,0,0
abnormal,rocambolesque,0,0,0
abnormally,rocambolesque,0,0,0
abode,"domicile, demeure",0,0,0
aboil,bouillant,0,0,0
abolish,"abolissent, abolir, abolissons, abolissez, annuler",0,0,0
abolished,"aboli, abolies, abolirent, abolie, abolîmes",0,0,0
abolishes,abolit,0,0,0
abolishing,abolissant,0,0,0
abolition,"abolition, suppression, annulation",0,0,0
abominable,hideux,0,0,0
abominably,exécrable,0,0,0
abominate,"exécrer, abominer",0,0,0
abomination,"horreur, abomination, aversion, atrocité, dégoût",0,0,0
aboriginal,"indigène, aborigène",0,0,0
aborigine,autochtone,0,0,0
abort,"avorter, drosser",0,0,0
abortion,"avortement, échec",0,0,0
abortionist,avorteur,0,0,0
abortive,vain,0,0,0
abound,"abonder, grouiller, abondez, fourmiller, abondons",0,0,0
abounded,"abondé, abondâmes, abondés, abondèrent, abondées",0,0,0
abounds,abonde,0,0,0
about,"concernant, quelque, autour de, environ",0,0,0
about turn,volte face,0,0,0
above,"dessus, sur, au dessus, au dessus de, au delà de",0,0,0
above−board,"sincère, honnête",0,0,0
above all,"avanttout, principalement, surtout",0,0,0
above mentioned,précité,0,0,0
above the line promotion,promotion des ventes,0,0,0
abrasion,abrasion,0,0,0
abrasive,"perçant, aigu, rude, acéré, âcre, excorier",0,0,0
abridge,rogner,0,0,0
abridged,raccourcie,0,0,0
abridgement,raccourcissement,0,0,0
abridges,raccourci,0,0,0
abroad,"dehors, extérieur",0,0,0
abrogate,"abrogez, abolir, annuler, résilier, résoudre",0,0,0
abrogated,"abrogea, abrogés, abrogé, abrogèrent, abrogeai",0,0,0
abrogates,abroge,0,0,0
abrogating,"résolutoire, abrogeant",0,0,0
abrogation,"abrogation, abolition, annulation",0,0,0
abrupt,"imprévu, brusque, raide, subit, abrupt, inattendu",0,0,0
abruptly,"sèchement, abruptement, brusque, brusquement",0,0,0
abruptness,"rudesse, brusquerie, soudaineté",0,0,0
abscess,abcès,0,0,0
abscissa,abscisse,0,0,0
abscond,"décamper, s'enfuir",0,0,0
absconder,réfugié,0,0,0
